Match,Red 1, Red 2, Red 3, Blue 1, Blue 2, Blue 3, Type, Tournament, Red Score, Blue Score
68,1,2,3,4,5,6, Seeding,Practice,-1,-1
69,1,2,3,4,5,6, Seeding,Practice,-1,-1
70,7,8,2,6,3,1, Seeding,Practice,-1,-1
71,1,2,3,4,5,6, Seeding,Practice,-1,-1
72,7,8,2,6,3,1, Seeding,Practice,-1,-1
73,1,2,3,4,5,6, Seeding,Practice,-1,-1
74,1,2,3,4,5,6, Seeding,Practice,-1,-1
75,7,8,2,6,3,1, Seeding,Practice,-1,-1
76,1,2,3,4,5,6, Seeding,Practice,-1,-1
77,7,8,2,6,3,1, Seeding,Practice,-1,-1
78,1,2,3,4,5,6, Seeding,Practice,-1,-1
79,1,2,3,4,5,6, Seeding,Practice,-1,-1
80,7,8,2,6,3,1, Seeding,Practice,-1,-1
81,1,2,3,4,5,6, Seeding,Practice,-1,-1
82,7,8,2,6,3,1, Seeding,Practice,-1,-1
83,1,2,3,4,5,6, Seeding,Practice,-1,-1
84,1,2,3,4,5,6, Seeding,Practice,-1,-1
85,7,8,2,6,3,1, Seeding,Practice,-1,-1
86,1,2,3,4,5,6, Seeding,Practice,-1,-1
87,7,8,2,6,3,1, Seeding,Practice,-1,-1
88,1,2,3,4,5,6, Seeding,Practice,-1,-1
89,1,2,3,4,5,6, Seeding,Practice,-1,-1
90,7,8,2,6,3,1, Seeding,Practice,-1,-1
91,1,2,3,4,5,6, Seeding,Practice,-1,-1
92,7,8,2,6,3,1, Seeding,Practice,-1,-1
93,1,2,3,4,5,6, Seeding,Practice,-1,-1
94,1,2,3,4,5,6, Seeding,Practice,-1,-1
95,7,8,2,6,3,1, Seeding,Practice,-1,-1
96,1,2,3,4,5,6, Seeding,Practice,-1,-1
97,7,8,2,6,3,1, Seeding,Practice,-1,-1
98,1,2,3,4,5,6, Seeding,Practice,-1,-1
99,1,2,3,4,5,6, Seeding,Practice,-1,-1
100,7,8,2,6,3,1, Seeding,Practice,-1,-1
101,1,2,3,4,5,6, Seeding,Practice,-1,-1
102,7,8,2,6,3,1, Seeding,Practice,-1,-1
103,1,2,3,4,5,6, Seeding,Practice,-1,-1
104,1,2,3,4,5,6, Seeding,Practice,-1,-1
105,1,2,3,4,5,6, Seeding,Practice,-1,-1
106,7,8,2,6,3,1, Seeding,Practice,-1,-1
107,1,2,3,4,5,6, Seeding,Practice,-1,-1
108,7,8,2,6,3,1, Seeding,Practice,-1,-1
109,1,2,3,4,5,6, Seeding,Practice,-1,-1
110,1,2,3,4,5,6, Seeding,Practice,-1,-1
111,7,8,2,6,3,1, Seeding,Practice,-1,-1
112,1,2,3,4,5,6, Seeding,Practice,-1,-1
113,7,8,2,6,3,1, Seeding,Practice,-1,-1
114,1,2,3,4,5,6, Seeding,Practice,-1,-1
115,1,2,3,4,5,6, Seeding,Practice,-1,-1
116,7,8,2,6,3,1, Seeding,Practice,-1,-1
117,1,2,3,4,5,6, Seeding,Practice,-1,-1
118,7,8,2,6,3,1, Seeding,Practice,-1,-1
119,1,2,3,4,5,6, Seeding,Practice,-1,-1
120,1,2,3,4,5,6, Seeding,Practice,-1,-1
121,7,8,2,6,3,1, Seeding,Practice,-1,-1
122,1,2,3,4,5,6, Seeding,Practice,-1,-1
123,7,8,2,6,3,1, Seeding,Practice,-1,-1
124,1,2,3,4,5,6, Seeding,Practice,-1,-1
125,1,2,3,4,5,6, Seeding,Practice,-1,-1
126,7,8,2,6,3,1, Seeding,Practice,-1,-1
127,1,2,3,4,5,6, Seeding,Practice,-1,-1
128,7,8,2,6,3,1, Seeding,Practice,-1,-1
129,1,2,3,4,5,6, Seeding,Practice,-1,-1
130,1,2,3,4,5,6, Seeding,Practice,-1,-1
131,7,8,2,6,3,1, Seeding,Practice,-1,-1
132,1,2,3,4,5,6, Seeding,Practice,-1,-1
133,7,8,2,6,3,1, Seeding,Practice,-1,-1
134,1,2,3,4,5,6, Seeding,Practice,-1,-1
135,1,2,3,4,5,6, Seeding,Practice,-1,-1
136,7,8,2,6,3,1, Seeding,Practice,-1,-1
137,1,2,3,4,5,6, Seeding,Practice,-1,-1
138,7,8,2,6,3,1, Seeding,Practice,-1,-1
139,1,2,3,4,5,6, Seeding,Practice,-1,-1
140,1,2,3,4,5,6, Seeding,Practice,-1,-1
141,7,8,2,6,3,1, Seeding,Practice,-1,-1
142,1,2,3,4,5,6, Seeding,Practice,-1,-1
143,7,8,2,6,3,1, Seeding,Practice,-1,-1
144,1,2,3,4,5,6, Seeding,Practice,-1,-1
145,1,2,3,4,5,6, Seeding,Practice,-1,-1
146,1,2,3,4,5,6, Seeding,Practice,-1,-1
147,7,8,2,6,3,1, Seeding,Practice,-1,-1
148,1,2,3,4,5,6, Seeding,Practice,-1,-1
149,7,8,2,6,3,1, Seeding,Practice,-1,-1
150,1,2,3,4,5,6, Seeding,Practice,-1,-1
151,1,2,3,4,5,6, Seeding,Practice,-1,-1
152,7,8,2,6,3,1, Seeding,Practice,-1,-1
153,1,2,3,4,5,6, Seeding,Practice,-1,-1
154,7,8,2,6,3,1, Seeding,Practice,-1,-1
155,1,2,3,4,5,6, Seeding,Practice,-1,-1
156,1,2,3,4,5,6, Seeding,Practice,-1,-1
157,7,8,2,6,3,1, Seeding,Practice,-1,-1
158,1,2,3,4,5,6, Seeding,Practice,-1,-1
159,7,8,2,6,3,1, Seeding,Practice,-1,-1
160,1,2,3,4,5,6, Seeding,Practice,-1,-1
161,1,2,3,4,5,6, Seeding,Practice,-1,-1
162,7,8,2,6,3,1, Seeding,Practice,-1,-1
163,1,2,3,4,5,6, Seeding,Practice,-1,-1
164,7,8,2,6,3,1, Seeding,Practice,-1,-1
165,1,2,3,4,5,6, Seeding,Practice,-1,-1
166,1,2,3,4,5,6, Seeding,Practice,-1,-1
167,7,8,2,6,3,1, Seeding,Practice,-1,-1
168,1,2,3,4,5,6, Seeding,Practice,-1,-1
169,7,8,2,6,3,1, Seeding,Practice,-1,-1
170,1,2,3,4,5,6, Seeding,Practice,-1,-1
171,1,2,3,4,5,6, Seeding,Practice,-1,-1
172,7,8,2,6,3,1, Seeding,Practice,-1,-1
173,1,2,3,4,5,6, Seeding,Practice,-1,-1
174,7,8,2,6,3,1, Seeding,Practice,-1,-1
175,1,2,3,4,5,6, Seeding,Practice,-1,-1
176,1,2,3,4,5,6, Seeding,Practice,-1,-1
177,7,8,2,6,3,1, Seeding,Practice,-1,-1
178,1,2,3,4,5,6, Seeding,Practice,-1,-1
179,7,8,2,6,3,1, Seeding,Practice,-1,-1
180,1,2,3,4,5,6, Seeding,Practice,-1,-1
181,1,2,3,4,5,6, Seeding,Practice,-1,-1
182,7,8,2,6,3,1, Seeding,Practice,-1,-1
183,1,2,3,4,5,6, Seeding,Practice,-1,-1
184,7,8,2,6,3,1, Seeding,Practice,-1,-1
185,1,2,3,4,5,6, Seeding,Practice,-1,-1
186,1,2,3,4,5,6, Seeding,Practice,-1,-1
187,1,2,3,4,5,6, Seeding,Practice,-1,-1
188,7,8,2,6,3,1, Seeding,Practice,-1,-1
189,1,2,3,4,5,6, Seeding,Practice,-1,-1
190,7,8,2,6,3,1, Seeding,Practice,-1,-1
191,1,2,3,4,5,6, Seeding,Practice,-1,-1
192,1,2,3,4,5,6, Seeding,Practice,-1,-1
193,7,8,2,6,3,1, Seeding,Practice,-1,-1
194,1,2,3,4,5,6, Seeding,Practice,-1,-1
195,7,8,2,6,3,1, Seeding,Practice,-1,-1
196,1,2,3,4,5,6, Seeding,Practice,-1,-1
197,1,2,3,4,5,6, Seeding,Practice,-1,-1
198,7,8,2,6,3,1, Seeding,Practice,-1,-1
199,1,2,3,4,5,6, Seeding,Practice,-1,-1
200,7,8,2,6,3,1, Seeding,Practice,-1,-1
201,1,2,3,4,5,6, Seeding,Practice,-1,-1
202,1,2,3,4,5,6, Seeding,Practice,-1,-1
203,7,8,2,6,3,1, Seeding,Practice,-1,-1
204,1,2,3,4,5,6, Seeding,Practice,-1,-1
205,7,8,2,6,3,1, Seeding,Practice,-1,-1
206,1,2,3,4,5,6, Seeding,Practice,-1,-1
207,1,2,3,4,5,6, Seeding,Practice,-1,-1
208,7,8,2,6,3,1, Seeding,Practice,-1,-1
209,1,2,3,4,5,6, Seeding,Practice,-1,-1
210,7,8,2,6,3,1, Seeding,Practice,-1,-1
211,1,2,3,4,5,6, Seeding,Practice,-1,-1
212,1,2,3,4,5,6, Seeding,Practice,-1,-1
213,7,8,2,6,3,1, Seeding,Practice,-1,-1
214,1,2,3,4,5,6, Seeding,Practice,-1,-1
215,7,8,2,6,3,1, Seeding,Practice,-1,-1
216,1,2,3,4,5,6, Seeding,Practice,-1,-1
217,1,2,3,4,5,6, Seeding,Practice,-1,-1
218,7,8,2,6,3,1, Seeding,Practice,-1,-1
219,1,2,3,4,5,6, Seeding,Practice,-1,-1
220,7,8,2,6,3,1, Seeding,Practice,-1,-1
221,1,2,3,4,5,6, Seeding,Practice,-1,-1
222,1,2,3,4,5,6, Seeding,Practice,-1,-1
223,7,8,2,6,3,1, Seeding,Practice,-1,-1
224,1,2,3,4,5,6, Seeding,Practice,-1,-1
225,7,8,2,6,3,1, Seeding,Practice,-1,-1
226,1,2,3,4,5,6, Seeding,Practice,-1,-1
227,1,2,3,4,5,6, Seeding,Practice,-1,-1
228,1,2,3,4,5,6, Seeding,Practice,-1,-1
229,7,8,2,6,3,1, Seeding,Practice,-1,-1
230,1,2,3,4,5,6, Seeding,Practice,-1,-1
231,7,8,2,6,3,1, Seeding,Practice,-1,-1
232,1,2,3,4,5,6, Seeding,Practice,-1,-1
233,1,2,3,4,5,6, Seeding,Practice,-1,-1
234,7,8,2,6,3,1, Seeding,Practice,-1,-1
235,1,2,3,4,5,6, Seeding,Practice,-1,-1
236,7,8,2,6,3,1, Seeding,Practice,-1,-1
237,1,2,3,4,5,6, Seeding,Practice,-1,-1
238,1,2,3,4,5,6, Seeding,Practice,-1,-1
239,7,8,2,6,3,1, Seeding,Practice,-1,-1
240,1,2,3,4,5,6, Seeding,Practice,-1,-1
241,7,8,2,6,3,1, Seeding,Practice,-1,-1
242,1,2,3,4,5,6, Seeding,Practice,-1,-1
243,1,2,3,4,5,6, Seeding,Practice,-1,-1
244,7,8,2,6,3,1, Seeding,Practice,-1,-1
245,1,2,3,4,5,6, Seeding,Practice,-1,-1
246,7,8,2,6,3,1, Seeding,Practice,-1,-1
247,1,2,3,4,5,6, Seeding,Practice,-1,-1
248,1,2,3,4,5,6, Seeding,Practice,-1,-1
249,7,8,2,6,3,1, Seeding,Practice,-1,-1
250,1,2,3,4,5,6, Seeding,Practice,-1,-1
251,7,8,2,6,3,1, Seeding,Practice,-1,-1
252,1,2,3,4,5,6, Seeding,Practice,-1,-1
253,1,2,3,4,5,6, Seeding,Practice,-1,-1
254,7,8,2,6,3,1, Seeding,Practice,-1,-1
255,1,2,3,4,5,6, Seeding,Practice,-1,-1
256,7,8,2,6,3,1, Seeding,Practice,-1,-1
257,1,2,3,4,5,6, Seeding,Practice,-1,-1
258,1,2,3,4,5,6, Seeding,Practice,-1,-1
259,7,8,2,6,3,1, Seeding,Practice,-1,-1
260,1,2,3,4,5,6, Seeding,Practice,-1,-1
261,7,8,2,6,3,1, Seeding,Practice,-1,-1
262,1,2,3,4,5,6, Seeding,Practice,-1,-1
263,1,2,3,4,5,6, Seeding,Practice,-1,-1
264,7,8,2,6,3,1, Seeding,Practice,-1,-1
265,1,2,3,4,5,6, Seeding,Practice,-1,-1
266,7,8,2,6,3,1, Seeding,Practice,-1,-1
267,1,2,3,4,5,6, Seeding,Practice,-1,-1
268,1,2,3,4,5,6, Seeding,Practice,-1,-1
269,1,2,3,4,5,6, Seeding,Practice,-1,-1
270,7,8,2,6,3,1, Seeding,Practice,-1,-1
271,1,2,3,4,5,6, Seeding,Practice,-1,-1
272,7,8,2,6,3,1, Seeding,Practice,-1,-1
273,1,2,3,4,5,6, Seeding,Practice,-1,-1
274,1,2,3,4,5,6, Seeding,Practice,-1,-1
275,7,8,2,6,3,1, Seeding,Practice,-1,-1
276,1,2,3,4,5,6, Seeding,Practice,-1,-1
277,7,8,2,6,3,1, Seeding,Practice,-1,-1
278,1,2,3,4,5,6, Seeding,Practice,-1,-1
279,1,2,3,4,5,6, Seeding,Practice,-1,-1
280,7,8,2,6,3,1, Seeding,Practice,-1,-1
281,1,2,3,4,5,6, Seeding,Practice,-1,-1
282,7,8,2,6,3,1, Seeding,Practice,-1,-1
283,1,2,3,4,5,6, Seeding,Practice,-1,-1
284,1,2,3,4,5,6, Seeding,Practice,-1,-1
285,7,8,2,6,3,1, Seeding,Practice,-1,-1
286,1,2,3,4,5,6, Seeding,Practice,-1,-1
287,7,8,2,6,3,1, Seeding,Practice,-1,-1
288,1,2,3,4,5,6, Seeding,Practice,-1,-1
289,1,2,3,4,5,6, Seeding,Practice,-1,-1
290,7,8,2,6,3,1, Seeding,Practice,-1,-1
291,1,2,3,4,5,6, Seeding,Practice,-1,-1
292,7,8,2,6,3,1, Seeding,Practice,-1,-1
293,1,2,3,4,5,6, Seeding,Practice,-1,-1
294,1,2,3,4,5,6, Seeding,Practice,-1,-1
295,7,8,2,6,3,1, Seeding,Practice,-1,-1
296,1,2,3,4,5,6, Seeding,Practice,-1,-1
297,7,8,2,6,3,1, Seeding,Practice,-1,-1
298,1,2,3,4,5,6, Seeding,Practice,-1,-1
299,1,2,3,4,5,6, Seeding,Practice,-1,-1
300,7,8,2,6,3,1, Seeding,Practice,-1,-1
301,1,2,3,4,5,6, Seeding,Practice,-1,-1
302,7,8,2,6,3,1, Seeding,Practice,-1,-1
303,1,2,3,4,5,6, Seeding,Practice,-1,-1
304,1,2,3,4,5,6, Seeding,Practice,-1,-1
305,7,8,2,6,3,1, Seeding,Practice,-1,-1
306,1,2,3,4,5,6, Seeding,Practice,-1,-1
307,7,8,2,6,3,1, Seeding,Practice,-1,-1
308,1,2,3,4,5,6, Seeding,Practice,-1,-1
309,1,2,3,4,5,6, Seeding,Practice,-1,-1
310,1,2,3,4,5,6, Seeding,Practice,-1,-1
311,7,8,2,6,3,1, Seeding,Practice,-1,-1
312,1,2,3,4,5,6, Seeding,Practice,-1,-1
313,7,8,2,6,3,1, Seeding,Practice,-1,-1
314,1,2,3,4,5,6, Seeding,Practice,-1,-1
315,1,2,3,4,5,6, Seeding,Practice,-1,-1
316,7,8,2,6,3,1, Seeding,Practice,-1,-1
317,1,2,3,4,5,6, Seeding,Practice,-1,-1
318,7,8,2,6,3,1, Seeding,Practice,-1,-1
319,1,2,3,4,5,6, Seeding,Practice,-1,-1
320,1,2,3,4,5,6, Seeding,Practice,-1,-1
321,7,8,2,6,3,1, Seeding,Practice,-1,-1
322,1,2,3,4,5,6, Seeding,Practice,-1,-1
323,7,8,2,6,3,1, Seeding,Practice,-1,-1
324,1,2,3,4,5,6, Seeding,Practice,-1,-1
325,1,2,3,4,5,6, Seeding,Practice,-1,-1
326,7,8,2,6,3,1, Seeding,Practice,-1,-1
327,1,2,3,4,5,6, Seeding,Practice,-1,-1
328,7,8,2,6,3,1, Seeding,Practice,-1,-1
329,1,2,3,4,5,6, Seeding,Practice,-1,-1
330,1,2,3,4,5,6, Seeding,Practice,-1,-1
331,7,8,2,6,3,1, Seeding,Practice,-1,-1
332,1,2,3,4,5,6, Seeding,Practice,-1,-1
333,7,8,2,6,3,1, Seeding,Practice,-1,-1
334,1,2,3,4,5,6, Seeding,Practice,-1,-1
335,1,2,3,4,5,6, Seeding,Practice,-1,-1
336,7,8,2,6,3,1, Seeding,Practice,-1,-1
337,1,2,3,4,5,6, Seeding,Practice,-1,-1
338,7,8,2,6,3,1, Seeding,Practice,-1,-1
339,1,2,3,4,5,6, Seeding,Practice,-1,-1
340,1,2,3,4,5,6, Seeding,Practice,-1,-1
341,7,8,2,6,3,1, Seeding,Practice,-1,-1
342,1,2,3,4,5,6, Seeding,Practice,-1,-1
343,7,8,2,6,3,1, Seeding,Practice,-1,-1
344,1,2,3,4,5,6, Seeding,Practice,-1,-1
345,1,2,3,4,5,6, Seeding,Practice,-1,-1
346,7,8,2,6,3,1, Seeding,Practice,-1,-1
347,1,2,3,4,5,6, Seeding,Practice,-1,-1
348,7,8,2,6,3,1, Seeding,Practice,-1,-1
349,1,2,3,4,5,6, Seeding,Practice,-1,-1
